city_id,city_name,state_name,state_abbrev,lat,lng
270,Gainesville,Georgia,GA,34.2903,-83.8301
271,Manchester,New Hampshire,NH,42.9848,-71.4447
272,Bayamón,Puerto Rico,PR,18.3793,-66.1635
273,Champaign,Illinois,IL,40.1144,-88.2735
274,Alexandria,Virginia,VA,38.8185,-77.0861
275,Hayward,California,CA,37.6328,-122.0772
276,Springfield,Illinois,IL,39.771,-89.6538
277,Lakewood,Colorado,CO,39.6977,-105.1168
278,Lafayette,Indiana,IN,40.399,-86.8594
279,Frederick,Maryland,MD,39.4336,-77.4141
280,Lake Charles,Louisiana,LA,30.2012,-93.2122
281,Odessa,Texas,TX,31.8831,-102.3406
282,Tuscaloosa,Alabama,AL,33.2348,-87.5267
283,Warner Robins,Georgia,GA,32.597,-83.6529
284,Palmdale,California,CA,34.5944,-118.1057
285,Hollywood,Florida,FL,26.0294,-80.1679
286,Midland,Texas,TX,32.0249,-102.1137
287,Leesburg,Florida,FL,28.7657,-81.8996
288,Port Arthur,Texas,TX,29.8554,-93.9264
289,Muskegon,Michigan,MI,43.2281,-86.2563
290,Macon,Georgia,GA,32.8065,-83.6974
291,Sunnyvale,California,CA,37.3836,-122.0256
292,Pomona,California,CA,34.0585,-117.7626
293,Escondido,California,CA,33.1347,-117.0722
294,Pasadena,Texas,TX,29.6583,-95.1499
295,New Bedford,Massachusetts,MA,41.6697,-70.9428
296,Fairfield,California,CA,38.2592,-122.0324
297,Naperville,Illinois,IL,41.7483,-88.1657
298,Bellevue,Washington,WA,47.5951,-122.1535
299,Binghamton,New York,NY,42.1014,-75.9093
300,Elkhart,Indiana,IN,41.6916,-85.9628
301,Topeka,Kansas,KS,39.0346,-95.6955
302,Joliet,Illinois,IL,41.5189,-88.1499
303,Beaumont,Texas,TX,30.0849,-94.1451
304,Paterson,New Jersey,NJ,40.9147,-74.1624
305,Merced,California,CA,37.3057,-120.4778
306,Pueblo,Colorado,CO,38.2705,-104.6112
307,Tyler,Texas,TX,32.3184,-95.3062
308,Torrance,California,CA,33.8346,-118.3417
309,Yuma,Arizona,AZ,32.5992,-114.5488
310,Metairie,Louisiana,LA,29.9977,-90.178
311,Surprise,Arizona,AZ,33.68,-112.4524
312,Columbia,Missouri,MO,38.9478,-92.3256
313,Athens,Georgia,GA,33.9508,-83.3689
314,Roseville,California,CA,38.7703,-121.3196
315,Thornton,Colorado,CO,39.9197,-104.9438
316,Miramar,Florida,FL,25.9773,-80.3351
317,Pasadena,California,CA,34.1597,-118.139
318,Mesquite,Texas,TX,32.7623,-96.5889
319,Olathe,Kansas,KS,38.8832,-94.8198
320,Santa Maria,California,CA,34.9334,-120.4432
321,Houma,Louisiana,LA,29.5799,-90.7058
322,Carrollton,Texas,TX,32.989,-96.8999
323,Grand Junction,Colorado,CO,39.0876,-108.5673
324,Charleston,West Virginia,WV,38.3484,-81.6323
325,Orange,California,CA,33.8038,-117.8218
326,Fullerton,California,CA,33.8841,-117.9279
327,Greeley,Colorado,CO,40.4151,-104.7706
328,Carolina,Puerto Rico,PR,18.4054,-65.9792
329,Las Cruces,New Mexico,NM,32.3265,-106.7892
330,Panama City,Florida,FL,30.1995,-85.6004
331,Harlingen,Texas,TX,26.1917,-97.6976
332,West Valley City,Utah,UT,40.6889,-112.0115
333,Hampton,Virginia,VA,37.0551,-76.363
334,Warren,Michigan,MI,42.4934,-83.027
335,Mauldin,South Carolina,SC,34.7849,-82.3005
336,Bloomington,Illinois,IL,40.4757,-88.9703
337,Coral Springs,Florida,FL,26.2702,-80.2591
338,Round Rock,Texas,TX,30.5254,-97.666
339,Yakima,Washington,WA,46.5923,-120.5496
340,Sterling Heights,Michigan,MI,42.5809,-83.0305
341,Kent,Washington,WA,47.3887,-122.2129
342,Burlington,North Carolina,NC,36.0758,-79.4686
343,Bellingham,Washington,WA,48.7543,-122.4687
344,Santa Clara,California,CA,37.3645,-121.968
345,Racine,Wisconsin,WI,42.7274,-87.8135
346,Greenville,North Carolina,NC,35.5956,-77.3768
347,Stamford,Connecticut,CT,41.1035,-73.5583
348,Elizabeth,New Jersey,NJ,40.6657,-74.1912
349,Johnson City,Tennessee,TN,36.3406,-82.3803
350,Lynchburg,Virginia,VA,37.4003,-79.1909
351,Simi Valley,California,CA,34.2663,-118.749
352,Fort Smith,Arkansas,AR,35.3493,-94.3695
353,Kenosha,Wisconsin,WI,42.5864,-87.8765
354,Norman,Oklahoma,OK,35.2335,-97.3471
355,South Lyon,Michigan,MI,42.4614,-83.6526
356,Boulder,Colorado,CO,40.0249,-105.2523
357,Abilene,Texas,TX,32.4543,-99.7384
358,Lehigh Acres,Florida,FL,26.612,-81.6388
359,Pearland,Texas,TX,29.5585,-95.3215
360,Berkeley,California,CA,37.8723,-122.276
361,Richardson,Texas,TX,32.9717,-96.7093
362,Redding,California,CA,40.5698,-122.365
363,Arvada,Colorado,CO,39.8321,-105.1511
364,East Los Angeles,California,CA,34.0326,-118.1691
365,St. George,Utah,UT,37.077,-113.577
366,Billings,Montana,MT,45.7891,-108.5524
367,Yuba City,California,CA,39.1357,-121.6381
368,Rochester,Minnesota,MN,44.0151,-92.4778
369,Leominster,Massachusetts,MA,42.5209,-71.7717
370,Kingsport,Tennessee,TN,36.5224,-82.5453
371,Duluth,Minnesota,MN,46.7756,-92.1392
372,Rock Hill,South Carolina,SC,34.9416,-81.0244
373,Gilroy,California,CA,37.0047,-121.5855
374,Cambridge,Massachusetts,MA,42.3759,-71.1185
375,Sugar Land,Texas,TX,29.5935,-95.6357
376,Texas City,Texas,TX,29.4128,-94.9658
377,Iowa City,Iowa,IA,41.6559,-91.5303
378,Saginaw,Michigan,MI,43.4199,-83.9501
379,Chico,California,CA,39.7575,-121.8152
380,Dover,Delaware,DE,39.161,-75.5203
381,Clearwater,Florida,FL,27.9789,-82.7622
382,Coeur dAlene,Idaho,ID,47.7041,-116.7935
383,Seaside,California,CA,36.6224,-121.8191
384,Independence,Missouri,MO,39.0871,-94.3501
385,West Jordan,Utah,UT,40.6024,-112.0008
386,Brandon,Florida,FL,27.9367,-82.3
387,Bloomington,Indiana,IN,39.1637,-86.5257
388,El Monte,California,CA,34.0739,-118.0291
389,Carlsbad,California,CA,33.1247,-117.2837
